
0it [00:00, ?it/s]
26it [02:16,  3.94it/s, bound:0 nc:  1 ncall:1.0e+03 eff:2.5% logz-ratio=-23.88+/-0.12 dlogz:36.153>0.1]
28it [02:16,  4.86it/s, bound:0 nc:  1 ncall:1.0e+03 eff:2.7% logz-ratio=-19.92+/-0.11 dlogz:31.190>0.1]
30it [02:16,  5.57it/s, bound:0 nc:  1 ncall:1.0e+03 eff:2.9% logz-ratio=-16.22+/-0.11 dlogz:27.234>0.1]
31it [02:16,  6.12it/s, bound:0 nc:  1 ncall:1.0e+03 eff:3.0% logz-ratio=-15.65+/-0.11 dlogz:26.200>0.1]
32it [02:16,  6.88it/s, bound:0 nc:  1 ncall:1.0e+03 eff:3.1% logz-ratio=-15.09+/-0.11 dlogz:25.626>0.1]
33it [02:17,  7.43it/s, bound:0 nc:  1 ncall:1.0e+03 eff:3.2% logz-ratio=-14.30+/-0.11 dlogz:25.068>0.1]
34it [02:17,  6.97it/s, bound:0 nc:  1 ncall:1.0e+03 eff:3.3% logz-ratio=-13.51+/-0.11 dlogz:24.272>0.1]
35it [02:17,  7.14it/s, bound:0 nc:  1 ncall:1.0e+03 eff:3.4% logz-ratio=-12.64+/-0.11 dlogz:23.479>0.1]
36it [02:17,  7.65it/s, bound:0 nc:  1 ncall:1.0e+03 eff:3.5% logz-ratio=-11.99+/-0.11 dlogz:22.615>0.1]
37it [02:17,  8.15it/s, bound:0 nc:  1 ncall:1.0e+03 eff:3.6% logz-ratio=-11.54+/-0.10 dlogz:21.958>0.1]
38it [02:17,  8.34it/s, bound:0 nc:  1 ncall:1.0e+03 eff:3.7% logz-ratio=-11.19+/-0.10 dlogz:21.509>0.1]
39it [02:17,  8.21it/s, bound:0 nc:  1 ncall:1.0e+03 eff:3.8% logz-ratio=-10.79+/-0.10 dlogz:21.158>0.1]
40it [02:17,  8.23it/s, bound:0 nc:  1 ncall:1.0e+03 eff:3.8% logz-ratio=-10.41+/-0.10 dlogz:20.762>0.1]
41it [02:17,  8.43it/s, bound:0 nc:  1 ncall:1.0e+03 eff:3.9% logz-ratio=-10.09+/-0.10 dlogz:20.381>0.1]
42it [02:18,  8.52it/s, bound:0 nc:  1 ncall:1.0e+03 eff:4.0% logz-ratio=-9.80+/-0.10 dlogz:20.058>0.1] 
43it [02:18,  7.72it/s, bound:0 nc:  1 ncall:1.0e+03 eff:4.1% logz-ratio=-9.54+/-0.10 dlogz:19.767>0.1]
44it [02:18,  7.81it/s, bound:0 nc:  1 ncall:1.0e+03 eff:4.2% logz-ratio=-9.26+/-0.10 dlogz:19.502>0.1]
45it [02:18,  8.09it/s, bound:0 nc:  1 ncall:1.0e+03 eff:4.3% logz-ratio=-8.95+/-0.10 dlogz:19.220>0.1]
46it [02:18,  8.29it/s, bound:0 nc:  1 ncall:1.0e+03 eff:4.4% logz-ratio=-8.53+/-0.10 dlogz:18.915>0.1]
47it [02:18,  8.56it/s, bound:0 nc:  1 ncall:1.0e+03 eff:4.5% logz-ratio=-8.12+/-0.10 dlogz:18.488>0.1]
48it [02:19,  4.71it/s, bound:0 nc:  3 ncall:1.0e+03 eff:4.6% logz-ratio=-7.23+/-0.11 dlogz:18.084>0.1]
49it [02:19,  5.57it/s, bound:0 nc:  1 ncall:1.1e+03 eff:4.7% logz-ratio=-6.45+/-0.11 dlogz:17.187>0.1]
50it [02:19,  6.26it/s, bound:0 nc:  1 ncall:1.1e+03 eff:4.8% logz-ratio=-5.94+/-0.11 dlogz:16.403>0.1]
51it [02:19,  6.64it/s, bound:0 nc:  1 ncall:1.1e+03 eff:4.8% logz-ratio=-5.55+/-0.10 dlogz:15.901>0.1]
52it [02:19,  6.74it/s, bound:0 nc:  1 ncall:1.1e+03 eff:4.9% logz-ratio=-5.22+/-0.10 dlogz:15.508>0.1]
53it [02:19,  7.07it/s, bound:0 nc:  1 ncall:1.1e+03 eff:5.0% logz-ratio=-4.92+/-0.10 dlogz:15.175>0.1]
55it [02:19,  7.72it/s, bound:0 nc:  1 ncall:1.1e+03 eff:5.2% logz-ratio=-4.31+/-0.10 dlogz:14.564>0.1]
56it [02:20,  7.65it/s, bound:0 nc:  1 ncall:1.1e+03 eff:5.3% logz-ratio=-4.03+/-0.10 dlogz:14.257>0.1]
57it [02:20,  4.52it/s, bound:0 nc:  2 ncall:1.1e+03 eff:5.4% logz-ratio=-3.81+/-0.10 dlogz:13.983>0.1]
58it [02:20,  5.39it/s, bound:0 nc:  1 ncall:1.1e+03 eff:5.5% logz-ratio=-3.59+/-0.10 dlogz:13.755>0.1]
60it [02:20,  6.32it/s, bound:0 nc:  1 ncall:1.1e+03 eff:5.6% logz-ratio=-3.13+/-0.10 dlogz:13.307>0.1]
62it [02:21,  7.16it/s, bound:0 nc:  1 ncall:1.1e+03 eff:5.8% logz-ratio=-2.66+/-0.10 dlogz:12.835>0.1]
64it [02:21,  7.98it/s, bound:0 nc:  1 ncall:1.1e+03 eff:6.0% logz-ratio=-2.28+/-0.09 dlogz:12.399>0.1]
66it [02:21,  8.63it/s, bound:0 nc:  1 ncall:1.1e+03 eff:6.2% logz-ratio=-1.86+/-0.09 dlogz:12.030>0.1]
67it [02:21,  8.92it/s, bound:0 nc:  1 ncall:1.1e+03 eff:6.3% logz-ratio=-1.61+/-0.09 dlogz:11.796>0.1]
68it [02:21,  8.46it/s, bound:0 nc:  1 ncall:1.1e+03 eff:6.3% logz-ratio=-1.40+/-0.09 dlogz:11.554>0.1]
70it [02:21,  7.75it/s, bound:0 nc:  2 ncall:1.1e+03 eff:6.5% logz-ratio=-1.02+/-0.09 dlogz:11.139>0.1]
71it [02:22,  7.67it/s, bound:0 nc:  1 ncall:1.1e+03 eff:6.6% logz-ratio=-0.86+/-0.09 dlogz:10.959>0.1]
72it [02:22,  6.27it/s, bound:0 nc:  1 ncall:1.1e+03 eff:6.7% logz-ratio=-0.70+/-0.09 dlogz:10.792>0.1]
73it [02:22,  7.00it/s, bound:0 nc:  1 ncall:1.1e+03 eff:6.8% logz-ratio=-0.57+/-0.09 dlogz:10.639>0.1]
75it [02:22,  7.61it/s, bound:0 nc:  1 ncall:1.1e+03 eff:7.0% logz-ratio=-0.31+/-0.09 dlogz:10.372>0.1]
76it [02:22,  7.17it/s, bound:0 nc:  1 ncall:1.1e+03 eff:7.0% logz-ratio=-0.19+/-0.09 dlogz:10.246>0.1]
78it [02:23,  7.22it/s, bound:0 nc:  1 ncall:1.1e+03 eff:7.2% logz-ratio=0.07+/-0.09 dlogz:9.987>0.1]  
79it [02:23,  4.47it/s, bound:0 nc:  4 ncall:1.1e+03 eff:7.3% logz-ratio=0.20+/-0.09 dlogz:9.855>0.1]
80it [02:23,  5.32it/s, bound:0 nc:  1 ncall:1.1e+03 eff:7.4% logz-ratio=0.33+/-0.09 dlogz:9.726>0.1]
81it [02:23,  6.04it/s, bound:0 nc:  1 ncall:1.1e+03 eff:7.4% logz-ratio=0.45+/-0.09 dlogz:9.599>0.1]
82it [02:23,  6.66it/s, bound:0 nc:  1 ncall:1.1e+03 eff:7.5% logz-ratio=0.56+/-0.09 dlogz:9.480>0.1]
83it [02:24,  4.87it/s, bound:0 nc:  2 ncall:1.1e+03 eff:7.6% logz-ratio=0.67+/-0.09 dlogz:9.366>0.1]
84it [02:24,  5.48it/s, bound:0 nc:  1 ncall:1.1e+03 eff:7.7% logz-ratio=0.78+/-0.09 dlogz:9.251>0.1]
85it [02:24,  5.87it/s, bound:0 nc:  1 ncall:1.1e+03 eff:7.8% logz-ratio=0.89+/-0.09 dlogz:9.140>0.1]
86it [02:24,  6.15it/s, bound:0 nc:  1 ncall:1.1e+03 eff:7.9% logz-ratio=0.99+/-0.09 dlogz:9.033>0.1]
87it [02:24,  6.38it/s, bound:0 nc:  1 ncall:1.1e+03 eff:7.9% logz-ratio=1.10+/-0.09 dlogz:8.929>0.1]
88it [02:24,  6.76it/s, bound:0 nc:  1 ncall:1.1e+03 eff:8.0% logz-ratio=1.20+/-0.09 dlogz:8.825>0.1]
89it [02:24,  7.16it/s, bound:0 nc:  1 ncall:1.1e+03 eff:8.1% logz-ratio=1.29+/-0.09 dlogz:8.722>0.1]
90it [02:25,  7.29it/s, bound:0 nc:  1 ncall:1.1e+03 eff:8.2% logz-ratio=1.38+/-0.09 dlogz:8.625>0.1]
91it [02:25,  7.46it/s, bound:0 nc:  1 ncall:1.1e+03 eff:8.3% logz-ratio=1.47+/-0.09 dlogz:8.532>0.1]
92it [02:25,  7.92it/s, bound:0 nc:  1 ncall:1.1e+03 eff:8.4% logz-ratio=1.55+/-0.09 dlogz:8.446>0.1]
93it [02:25,  8.13it/s, bound:0 nc:  1 ncall:1.1e+03 eff:8.4% logz-ratio=1.62+/-0.09 dlogz:8.366>0.1]
94it [02:25,  8.44it/s, bound:0 nc:  1 ncall:1.1e+03 eff:8.5% logz-ratio=1.69+/-0.09 dlogz:8.291>0.1]
95it [02:25,  8.62it/s, bound:0 nc:  1 ncall:1.1e+03 eff:8.6% logz-ratio=1.76+/-0.09 dlogz:8.220>0.1]
96it [02:25,  8.47it/s, bound:0 nc:  1 ncall:1.1e+03 eff:8.7% logz-ratio=1.82+/-0.09 dlogz:8.153>0.1]
97it [02:25,  7.30it/s, bound:0 nc:  2 ncall:1.1e+03 eff:8.8% logz-ratio=1.88+/-0.09 dlogz:8.089>0.1]
98it [02:26,  7.90it/s, bound:0 nc:  1 ncall:1.1e+03 eff:8.9% logz-ratio=1.94+/-0.09 dlogz:8.029>0.1]
99it [02:26,  8.22it/s, bound:0 nc:  1 ncall:1.1e+03 eff:8.9% logz-ratio=1.99+/-0.08 dlogz:7.972>0.1]
100it [02:26,  6.79it/s, bound:0 nc:  2 ncall:1.1e+03 eff:9.0% logz-ratio=2.04+/-0.08 dlogz:7.918>0.1]
101it [02:26,  7.46it/s, bound:0 nc:  1 ncall:1.1e+03 eff:9.1% logz-ratio=2.09+/-0.08 dlogz:7.866>0.1]
102it [02:26,  7.69it/s, bound:0 nc:  1 ncall:1.1e+03 eff:9.2% logz-ratio=2.14+/-0.08 dlogz:7.817>0.1]
103it [02:26,  7.90it/s, bound:0 nc:  1 ncall:1.1e+03 eff:9.3% logz-ratio=2.18+/-0.08 dlogz:7.770>0.1]
105it [02:26,  8.54it/s, bound:0 nc:  1 ncall:1.1e+03 eff:9.4% logz-ratio=2.26+/-0.08 dlogz:7.681>0.1]
106it [02:27,  8.71it/s, bound:0 nc:  1 ncall:1.1e+03 eff:9.5% logz-ratio=2.30+/-0.08 dlogz:7.639>0.1]
107it [02:27,  8.92it/s, bound:0 nc:  1 ncall:1.1e+03 eff:9.6% logz-ratio=2.34+/-0.08 dlogz:7.599>0.1]
108it [02:27,  8.95it/s, bound:0 nc:  1 ncall:1.1e+03 eff:9.7% logz-ratio=2.38+/-0.08 dlogz:7.559>0.1]
109it [02:27,  9.05it/s, bound:0 nc:  1 ncall:1.1e+03 eff:9.7% logz-ratio=2.42+/-0.08 dlogz:7.520>0.1]
110it [02:27,  8.67it/s, bound:0 nc:  1 ncall:1.1e+03 eff:9.8% logz-ratio=2.45+/-0.08 dlogz:7.482>0.1]
111it [02:27,  8.87it/s, bound:0 nc:  1 ncall:1.1e+03 eff:9.9% logz-ratio=2.49+/-0.08 dlogz:7.444>0.1]
112it [02:27,  8.72it/s, bound:0 nc:  1 ncall:1.1e+03 eff:10.0% logz-ratio=2.52+/-0.08 dlogz:7.408>0.1]
113it [02:27,  8.60it/s, bound:0 nc:  1 ncall:1.1e+03 eff:10.1% logz-ratio=2.56+/-0.08 dlogz:7.372>0.1]
114it [02:27,  8.69it/s, bound:0 nc:  1 ncall:1.1e+03 eff:10.1% logz-ratio=2.59+/-0.08 dlogz:7.336>0.1]
115it [02:28,  9.01it/s, bound:0 nc:  1 ncall:1.1e+03 eff:10.2% logz-ratio=2.63+/-0.08 dlogz:7.301>0.1]
117it [02:28,  9.38it/s, bound:0 nc:  1 ncall:1.1e+03 eff:10.4% logz-ratio=2.69+/-0.08 dlogz:7.234>0.1]
119it [02:28,  7.68it/s, bound:0 nc:  3 ncall:1.1e+03 eff:10.5% logz-ratio=2.75+/-0.08 dlogz:7.170>0.1]
120it [02:28,  8.01it/s, bound:0 nc:  1 ncall:1.1e+03 eff:10.6% logz-ratio=2.78+/-0.08 dlogz:7.139>0.1]
121it [02:28,  8.41it/s, bound:0 nc:  1 ncall:1.1e+03 eff:10.7% logz-ratio=2.81+/-0.08 dlogz:7.109>0.1]
123it [02:29,  7.97it/s, bound:0 nc:  2 ncall:1.1e+03 eff:10.8% logz-ratio=2.86+/-0.08 dlogz:7.051>0.1]
125it [02:29,  8.67it/s, bound:0 nc:  1 ncall:1.1e+03 eff:11.0% logz-ratio=2.92+/-0.08 dlogz:6.994>0.1]
127it [02:29,  9.27it/s, bound:0 nc:  1 ncall:1.1e+03 eff:11.1% logz-ratio=2.97+/-0.08 dlogz:6.940>0.1]
128it [02:29,  7.56it/s, bound:0 nc:  2 ncall:1.1e+03 eff:11.2% logz-ratio=2.99+/-0.08 dlogz:6.913>0.1]
129it [02:29,  8.02it/s, bound:0 nc:  1 ncall:1.1e+03 eff:11.3% logz-ratio=3.02+/-0.08 dlogz:6.887>0.1]
130it [02:29,  6.94it/s, bound:0 nc:  2 ncall:1.1e+03 eff:11.4% logz-ratio=3.04+/-0.08 dlogz:6.861>0.1]
131it [02:30,  7.64it/s, bound:0 nc:  1 ncall:1.1e+03 eff:11.4% logz-ratio=3.07+/-0.08 dlogz:6.836>0.1]
132it [02:30,  8.15it/s, bound:0 nc:  1 ncall:1.1e+03 eff:11.5% logz-ratio=3.09+/-0.08 dlogz:6.812>0.1]
133it [02:30,  8.51it/s, bound:0 nc:  1 ncall:1.1e+03 eff:11.6% logz-ratio=3.11+/-0.08 dlogz:6.788>0.1]
134it [02:30,  5.83it/s, bound:0 nc:  3 ncall:1.2e+03 eff:11.6% logz-ratio=3.13+/-0.08 dlogz:6.764>0.1]
135it [02:30,  6.55it/s, bound:0 nc:  1 ncall:1.2e+03 eff:11.7% logz-ratio=3.16+/-0.08 dlogz:6.740>0.1]
136it [02:30,  7.15it/s, bound:0 nc:  1 ncall:1.2e+03 eff:11.8% logz-ratio=3.18+/-0.08 dlogz:6.717>0.1]
137it [02:30,  7.65it/s, bound:0 nc:  1 ncall:1.2e+03 eff:11.9% logz-ratio=3.20+/-0.08 dlogz:6.694>0.1]
138it [02:30,  8.12it/s, bound:0 nc:  1 ncall:1.2e+03 eff:11.9% logz-ratio=3.22+/-0.08 dlogz:6.671>0.1]
139it [02:31,  8.28it/s, bound:0 nc:  1 ncall:1.2e+03 eff:12.0% logz-ratio=3.24+/-0.08 dlogz:6.649>0.1]
140it [02:31,  8.58it/s, bound:0 nc:  1 ncall:1.2e+03 eff:12.1% logz-ratio=3.26+/-0.07 dlogz:6.627>0.1]
141it [02:31,  8.61it/s, bound:0 nc:  1 ncall:1.2e+03 eff:12.2% logz-ratio=3.28+/-0.07 dlogz:6.605>0.1]
142it [02:31,  8.85it/s, bound:0 nc:  1 ncall:1.2e+03 eff:12.3% logz-ratio=3.30+/-0.07 dlogz:6.583>0.1]
143it [02:31,  8.86it/s, bound:0 nc:  1 ncall:1.2e+03 eff:12.3% logz-ratio=3.32+/-0.07 dlogz:6.562>0.1]
144it [02:31,  6.96it/s, bound:0 nc:  2 ncall:1.2e+03 eff:12.4% logz-ratio=3.34+/-0.07 dlogz:6.540>0.1]
145it [02:31,  7.47it/s, bound:0 nc:  1 ncall:1.2e+03 eff:12.5% logz-ratio=3.36+/-0.07 dlogz:6.520>0.1]
146it [02:31,  8.01it/s, bound:0 nc:  1 ncall:1.2e+03 eff:12.5% logz-ratio=3.38+/-0.07 dlogz:6.499>0.1]
147it [02:32,  4.94it/s, bound:0 nc:  4 ncall:1.2e+03 eff:12.6% logz-ratio=3.40+/-0.07 dlogz:6.479>0.1]
148it [02:32,  5.79it/s, bound:0 nc:  1 ncall:1.2e+03 eff:12.7% logz-ratio=3.42+/-0.07 dlogz:6.459>0.1]
149it [02:32,  5.58it/s, bound:0 nc:  2 ncall:1.2e+03 eff:12.7% logz-ratio=3.44+/-0.07 dlogz:6.439>0.1]
150it [02:32,  4.68it/s, bound:0 nc:  3 ncall:1.2e+03 eff:12.8% logz-ratio=3.46+/-0.07 dlogz:6.420>0.1]
152it [02:33,  5.13it/s, bound:0 nc:  2 ncall:1.2e+03 eff:12.9% logz-ratio=3.49+/-0.07 dlogz:6.382>0.1]
153it [02:33,  5.93it/s, bound:0 nc:  1 ncall:1.2e+03 eff:13.0% logz-ratio=3.51+/-0.07 dlogz:6.364>0.1]
154it [02:33,  6.74it/s, bound:0 nc:  1 ncall:1.2e+03 eff:13.1% logz-ratio=3.53+/-0.07 dlogz:6.346>0.1]
155it [02:33,  6.22it/s, bound:0 nc:  2 ncall:1.2e+03 eff:13.1% logz-ratio=3.54+/-0.07 dlogz:6.328>0.1]
157it [02:33,  7.02it/s, bound:0 nc:  1 ncall:1.2e+03 eff:13.3% logz-ratio=3.58+/-0.07 dlogz:6.292>0.1]
158it [02:33,  7.64it/s, bound:0 nc:  1 ncall:1.2e+03 eff:13.3% logz-ratio=3.59+/-0.07 dlogz:6.275>0.1]
159it [02:34,  6.21it/s, bound:0 nc:  2 ncall:1.2e+03 eff:13.4% logz-ratio=3.61+/-0.07 dlogz:6.257>0.1]
160it [02:34,  6.94it/s, bound:0 nc:  1 ncall:1.2e+03 eff:13.5% logz-ratio=3.63+/-0.07 dlogz:6.240>0.1]
161it [02:34,  7.30it/s, bound:0 nc:  1 ncall:1.2e+03 eff:13.6% logz-ratio=3.64+/-0.07 dlogz:6.223>0.1]
162it [02:34,  6.37it/s, bound:0 nc:  2 ncall:1.2e+03 eff:13.6% logz-ratio=3.66+/-0.07 dlogz:6.207>0.1]
163it [02:34,  7.04it/s, bound:0 nc:  1 ncall:1.2e+03 eff:13.7% logz-ratio=3.67+/-0.07 dlogz:6.190>0.1]
164it [02:34,  6.29it/s, bound:0 nc:  2 ncall:1.2e+03 eff:13.7% logz-ratio=3.69+/-0.07 dlogz:6.174>0.1]
165it [02:35,  7.07it/s, bound:0 nc:  1 ncall:1.2e+03 eff:13.8% logz-ratio=3.70+/-0.07 dlogz:6.158>0.1]
167it [02:35,  7.81it/s, bound:0 nc:  1 ncall:1.2e+03 eff:14.0% logz-ratio=3.73+/-0.07 dlogz:6.126>0.1]
168it [02:35,  8.30it/s, bound:0 nc:  1 ncall:1.2e+03 eff:14.0% logz-ratio=3.75+/-0.07 dlogz:6.111>0.1]
170it [02:35,  8.87it/s, bound:0 nc:  1 ncall:1.2e+03 eff:14.2% logz-ratio=3.77+/-0.07 dlogz:6.080>0.1]
172it [02:35,  8.04it/s, bound:0 nc:  2 ncall:1.2e+03 eff:14.3% logz-ratio=3.80+/-0.07 dlogz:6.050>0.1]
174it [02:36,  7.66it/s, bound:0 nc:  2 ncall:1.2e+03 eff:14.4% logz-ratio=3.83+/-0.07 dlogz:6.020>0.1]
175it [02:36,  8.23it/s, bound:0 nc:  1 ncall:1.2e+03 eff:14.5% logz-ratio=3.84+/-0.07 dlogz:6.006>0.1]
177it [02:36,  8.79it/s, bound:0 nc:  1 ncall:1.2e+03 eff:14.7% logz-ratio=3.87+/-0.07 dlogz:5.977>0.1]
178it [02:36,  7.31it/s, bound:0 nc:  2 ncall:1.2e+03 eff:14.7% logz-ratio=3.88+/-0.07 dlogz:5.963>0.1]
179it [02:36,  7.82it/s, bound:0 nc:  1 ncall:1.2e+03 eff:14.8% logz-ratio=3.90+/-0.07 dlogz:5.949>0.1]
180it [02:36,  8.15it/s, bound:0 nc:  1 ncall:1.2e+03 eff:14.9% logz-ratio=3.91+/-0.07 dlogz:5.935>0.1]
181it [02:36,  8.59it/s, bound:0 nc:  1 ncall:1.2e+03 eff:14.9% logz-ratio=3.92+/-0.07 dlogz:5.921>0.1]
182it [02:36,  8.83it/s, bound:0 nc:  1 ncall:1.2e+03 eff:15.0% logz-ratio=3.93+/-0.07 dlogz:5.907>0.1]
184it [02:37,  9.22it/s, bound:0 nc:  1 ncall:1.2e+03 eff:15.1% logz-ratio=3.96+/-0.07 dlogz:5.880>0.1]
185it [02:37,  9.41it/s, bound:0 nc:  1 ncall:1.2e+03 eff:15.2% logz-ratio=3.97+/-0.07 dlogz:5.867>0.1]
187it [02:37,  9.82it/s, bound:0 nc:  1 ncall:1.2e+03 eff:15.3% logz-ratio=4.00+/-0.07 dlogz:5.840>0.1]
188it [02:37,  8.12it/s, bound:0 nc:  2 ncall:1.2e+03 eff:15.4% logz-ratio=4.01+/-0.07 dlogz:5.827>0.1]
190it [02:37,  8.71it/s, bound:0 nc:  1 ncall:1.2e+03 eff:15.5% logz-ratio=4.03+/-0.07 dlogz:5.802>0.1]
191it [02:37,  9.03it/s, bound:0 nc:  1 ncall:1.2e+03 eff:15.6% logz-ratio=4.04+/-0.07 dlogz:5.789>0.1]
193it [02:38,  9.23it/s, bound:0 nc:  1 ncall:1.2e+03 eff:15.7% logz-ratio=4.07+/-0.07 dlogz:5.764>0.1]
195it [02:38,  9.63it/s, bound:0 nc:  1 ncall:1.2e+03 eff:15.9% logz-ratio=4.09+/-0.07 dlogz:5.739>0.1]
196it [02:38,  7.99it/s, bound:0 nc:  2 ncall:1.2e+03 eff:15.9% logz-ratio=4.10+/-0.07 dlogz:5.726>0.1]
197it [02:38,  7.10it/s, bound:0 nc:  2 ncall:1.2e+03 eff:16.0% logz-ratio=4.11+/-0.07 dlogz:5.714>0.1]
199it [02:38,  7.95it/s, bound:0 nc:  1 ncall:1.2e+03 eff:16.1% logz-ratio=4.13+/-0.07 dlogz:5.690>0.1]
201it [02:39,  8.86it/s, bound:0 nc:  1 ncall:1.2e+03 eff:16.3% logz-ratio=4.16+/-0.07 dlogz:5.665>0.1]
203it [02:39,  9.55it/s, bound:0 nc:  1 ncall:1.2e+03 eff:16.4% logz-ratio=4.18+/-0.07 dlogz:5.642>0.1]
205it [02:39,  9.41it/s, bound:0 nc:  1 ncall:1.2e+03 eff:16.5% logz-ratio=4.20+/-0.07 dlogz:5.618>0.1]
206it [02:39,  7.16it/s, bound:0 nc:  2 ncall:1.2e+03 eff:16.6% logz-ratio=4.21+/-0.07 dlogz:5.607>0.1]
207it [02:39,  7.74it/s, bound:0 nc:  1 ncall:1.2e+03 eff:16.7% logz-ratio=4.22+/-0.07 dlogz:5.595>0.1]
208it [02:39,  8.22it/s, bound:0 nc:  1 ncall:1.2e+03 eff:16.7% logz-ratio=4.23+/-0.07 dlogz:5.584>0.1]
210it [02:40,  8.56it/s, bound:0 nc:  1 ncall:1.2e+03 eff:16.9% logz-ratio=4.25+/-0.07 dlogz:5.561>0.1]
212it [02:40,  7.81it/s, bound:0 nc:  2 ncall:1.2e+03 eff:17.0% logz-ratio=4.27+/-0.07 dlogz:5.539>0.1]
214it [02:40,  8.40it/s, bound:0 nc:  1 ncall:1.3e+03 eff:17.1% logz-ratio=4.29+/-0.07 dlogz:5.517>0.1]
216it [02:40,  9.04it/s, bound:0 nc:  1 ncall:1.3e+03 eff:17.2% logz-ratio=4.31+/-0.07 dlogz:5.495>0.1]
218it [02:41,  8.54it/s, bound:0 nc:  2 ncall:1.3e+03 eff:17.4% logz-ratio=4.33+/-0.07 dlogz:5.473>0.1]
219it [02:41,  7.60it/s, bound:0 nc:  2 ncall:1.3e+03 eff:17.4% logz-ratio=4.34+/-0.06 dlogz:5.462>0.1]
220it [02:41,  7.12it/s, bound:0 nc:  2 ncall:1.3e+03 eff:17.5% logz-ratio=4.35+/-0.06 dlogz:5.452>0.1]
221it [02:41,  6.76it/s, bound:0 nc:  2 ncall:1.3e+03 eff:17.5% logz-ratio=4.36+/-0.06 dlogz:5.441>0.1]
223it [02:41,  7.75it/s, bound:0 nc:  1 ncall:1.3e+03 eff:17.6% logz-ratio=4.38+/-0.06 dlogz:5.420>0.1]
225it [02:41,  8.55it/s, bound:0 nc:  1 ncall:1.3e+03 eff:17.8% logz-ratio=4.40+/-0.06 dlogz:5.400>0.1]
227it [02:42,  9.08it/s, bound:0 nc:  1 ncall:1.3e+03 eff:17.9% logz-ratio=4.42+/-0.06 dlogz:5.379>0.1]
229it [02:42,  9.83it/s, bound:0 nc:  1 ncall:1.3e+03 eff:18.0% logz-ratio=4.43+/-0.06 dlogz:5.359>0.1]
231it [02:42,  8.29it/s, bound:0 nc:  1 ncall:1.3e+03 eff:18.1% logz-ratio=4.45+/-0.06 dlogz:5.339>0.1]
233it [02:42,  8.95it/s, bound:0 nc:  1 ncall:1.3e+03 eff:18.3% logz-ratio=4.47+/-0.06 dlogz:5.320>0.1]
234it [02:42,  8.03it/s, bound:0 nc:  2 ncall:1.3e+03 eff:18.3% logz-ratio=4.48+/-0.06 dlogz:5.310>0.1]
